Especie;Latitud;Longitud
e. palarica;42,82641746;-6,246227141
e. rondoui;42,92941484;-0,854084781
e. palarica;42,29476656;-6,633419892
e. rondoui;42,5736911;1,112965069
e. palarica;43,02760756;-4,655650979
e. rondoui;42,83942433;-0,857202931
e. palarica;42,84927586;-4,528492997
e. rondoui;42,40717268;2,333197692
e. palarica;42,20222111;-6,515756065
e. rondoui;42,55932717;0,382521215
e. bazae;41,47689034;0,306808138
e. palarica;42,29220006;-6,512221188
e. bazae;41,47103566;0,067563089
e. rondoui;42,40550168;2,090171537
e. rondoui;42,57162026;0,991188639
e. palarica;43,10946017;-6,848058121
e. palarica;43,01708843;-5,268953436
e. rondoui;42,49064835;1,602196782
e. palarica;42,75171769;-6,982672422
e. rondoui;42,49206763;1,723852649
e. palarica;43,02379404;-4,901011158
e. rondoui;42,82634693;-0,245977309
e. palarica;42,20951371;-6,878881948
e. palarica;43,02579197;-7,219187766
e. palarica;43,1862058;-6,230097337
e. rondoui;42,56709068;0,747676324
e. palarica;43,02931713;-4,532953761
e. rondoui;42,65707874;0,744430074
e. rondoui;42,56463202;0,625942041
e. palarica;42,93759302;-4,653236726
e. palarica;42,21744966;-7,363238897
e. palarica;42,92462946;-6,609442141
e. palarica;42,28950563;-6,391038687
e. palarica;43,03234177;-4,287529189
e. palarica;42,93929726;-4,530718247
e. rondoui;42,92705279;-0,731630238
e. palarica;43,20167752;-5,029613565
e. rondoui;42,66564744;1,232208731
e. palarica;43,09322453;-5,886091414
e. palarica;43,01197171;-6,483351529
e. bazae;41,19774382;-0,007917876
e. bazae;41,38691341;0,310526921
e. rondoui;42,55648109;0,26083627
e. palarica;42,11721423;-6,761001785
e. palarica;43,2016978;-6,967904202
e. bazae;37,45334647;-2,716077938
e. rondoui;42,73638896;0,252926128
e. rondoui;42,31775726;2,455495785
e. palarica;42,73933291;-6,372249019
e. bazae;41,2011548;0,079652318
e. palarica;42,92712201;-6,731881801
e. rondoui;42,64643588;0,256890268
e. palarica;42,94087041;-4,408189503
e. palarica;42,37947447;-6,387315094
e. palarica;42,48377783;-7,112974091
e. palarica;42,83713875;-6,735177041
e. palarica;43,01945496;-5,146320172
e. palarica;42,30567845;-7,239628913
e. palarica;42,83202859;-5,506863214
e. rondoui;42,40640157;2,211682032
e. rondoui;42,40447302;1,968667002
e. rondoui;42,40871318;2,697767706
e. rondoui;42,65941548;0,866354356
e. bazae;37,63361855;-2,71539348
e. palarica;43,10708366;-6,725245666
e. palarica;42,82341137;-6,124033523
e. bazae;37,72342363;-2,601575447
e. rondoui;42,22194877;1,729306704
e. rondoui;42,6520164;0,500627102
e. rondoui;42,73925292;0,374961481
e. bazae;37,54315645;-2,60253673
e. palarica;42,66572209;-4,768036494
e. palarica;43,11933549;-4,535199595
e. rondoui;42,31198987;1,727497002
e. palarica;43,38167872;-6,961900976
e. palarica;42,8508441;-4,406142227
