"","ID","PR_1980","PR_2018","CID","COUNTRY","NATLEVNAME","CODNUT1","CODNUT2","NAME.1","NAME.2","FIGURA","NOMBRE","coords.x1","coords.x2"
"29",1,1707.1199798584,1889.29000244141,"0","ES","Comunidad autÃ³noma","ES2","ES24","Aragon","Valles Occidentales","Parque Natural","Valles Occidentales",700811.990151052,4730521.78773327
"67",2,2195.60999755859,2209.60997924805,"0","ES","Comunidad autÃ³noma","ES2","ES24","Aragon","Valles Occidentales","Parque Natural","Valles Occidentales",678401.211137042,4745710.75997266
"68",3,2199.96999511719,2178.49000854492,"0","ES","Comunidad autÃ³noma","ES2","ES24","Aragon","Valles Occidentales","Parque Natural","Valles Occidentales",681245.487658928,4751928.48074143
"69",4,2272.5799987793,2315.17000732422,"0","ES","Comunidad autÃ³noma","ES2","ES24","Aragon","Valles Occidentales","Parque Natural","Valles Occidentales",683957.472249564,4750142.53966955
"70",5,2043.65000610352,2242.1200012207,"0","ES","Comunidad autÃ³noma","ES2","ES24","Aragon","Valles Occidentales","Parque Natural","Valles Occidentales",689910.609155838,4746702.94945703
"71",6,2106.48999023438,2333.60997314453,"0","ES","Comunidad autÃ³noma","ES2","ES24","Aragon","Valles Occidentales","Parque Natural","Valles Occidentales",692424.155849598,4741411.27220701
"72",7,2290.82001953125,2446.92996826172,"0","ES","Comunidad autÃ³noma","ES2","ES24","Aragon","Valles Occidentales","Parque Natural","Valles Occidentales",685081.953665193,4744586.27855702
"73",8,1972.09000854492,2193.61000976562,"0","ES","Comunidad autÃ³noma","ES2","ES24","Aragon","Valles Occidentales","Parque Natural","Valles Occidentales",695136.140440234,4736979.49251012
"74",9,2127.88997192383,2393.61999511719,"0","ES","Comunidad autÃ³noma","ES2","ES24","Aragon","Valles Occidentales","Parque Natural","Valles Occidentales",696922.081512116,4738699.28761638
"75",10,1454.76998901367,1626.19000244141,"0","ES","Comunidad autÃ³noma","ES2","ES24","Aragon","Ordesa y Monte Perdido","Parque Nacional","Ordesa y Monte Perdido",742194.309643377,4726890.85471132
