"","ID","TMIN_1980","TMIN_2018","CID","COUNTRY","NATLEVNAME","CODNUT1","CODNUT2","NAME.1","NAME.2","FIGURA","NOMBRE","coords.x1","coords.x2"
"29",1,0.433333309988181,2.38333330551783,"0","ES","Comunidad autÃ³noma","ES2","ES24","Aragon","Valles Occidentales","Parque Natural","Valles Occidentales",700811.990151052,4730521.78773327
"67",2,1.02500001589457,2.89999994138877,"0","ES","Comunidad autÃ³noma","ES2","ES24","Aragon","Valles Occidentales","Parque Natural","Valles Occidentales",678401.211137042,4745710.75997266
"68",3,0.23333336164554,2.13333330800136,"0","ES","Comunidad autÃ³noma","ES2","ES24","Aragon","Valles Occidentales","Parque Natural","Valles Occidentales",681245.487658928,4751928.48074143
"69",4,-2.91666669243326,-1.01666664332151,"0","ES","Comunidad autÃ³noma","ES2","ES24","Aragon","Valles Occidentales","Parque Natural","Valles Occidentales",683957.472249564,4750142.53966955
"70",5,0.683333277702332,2.56666659719,"0","ES","Comunidad autÃ³noma","ES2","ES24","Aragon","Valles Occidentales","Parque Natural","Valles Occidentales",689910.609155838,4746702.94945703
"71",6,-2.81666667759418,-0.891666705409686,"0","ES","Comunidad autÃ³noma","ES2","ES24","Aragon","Valles Occidentales","Parque Natural","Valles Occidentales",692424.155849598,4741411.27220701
"72",7,-0.633333327869574,1.25833336015542,"0","ES","Comunidad autÃ³noma","ES2","ES24","Aragon","Valles Occidentales","Parque Natural","Valles Occidentales",685081.953665193,4744586.27855702
"73",8,-1.13333332290252,0.775000025828679,"0","ES","Comunidad autÃ³noma","ES2","ES24","Aragon","Valles Occidentales","Parque Natural","Valles Occidentales",695136.140440234,4736979.49251012
"74",9,-3.78333330154419,-1.85833325982094,"0","ES","Comunidad autÃ³noma","ES2","ES24","Aragon","Valles Occidentales","Parque Natural","Valles Occidentales",696922.081512116,4738699.28761638
"75",10,-0.441666646239658,1.41666669150194,"0","ES","Comunidad autÃ³noma","ES2","ES24","Aragon","Ordesa y Monte Perdido","Parque Nacional","Ordesa y Monte Perdido",742194.309643377,4726890.85471132
"76",11,-4.53333342820406,-2.65833336114883,"0","ES","Comunidad autÃ³noma","ES2","ES24","Aragon","Ordesa y Monte Perdido","Parque Nacional","Ordesa y Monte Perdido",745580.983083391,4727949.19016132
"77",12,-2.50833334525426,-0.691666652758916,"0","ES","Comunidad autÃ³noma","ES2","ES24","Aragon","Ordesa y Monte Perdido","Parque Nacional","Ordesa y Monte Perdido",749285.157158406,4725303.35153631
"78",13,-7.67500004172325,-5.79166658222675,"0","ES","Comunidad autÃ³noma","ES2","ES24","Aragon","Ordesa y Monte Perdido","Parque Nacional","Ordesa y Monte Perdido",749920.158428408,4729007.52561133
"79",14,-2.39999994635582,-0.566666632890701,"0","ES","Comunidad autÃ³noma","ES2","ES24","Aragon","Ordesa y Monte Perdido","Parque Nacional","Ordesa y Monte Perdido",752777.66414342,4723927.51545131
"80",15,-0.258333345254262,1.60833332935969,"0","ES","Comunidad autÃ³noma","ES2","ES24","Aragon","Ordesa y Monte Perdido","Parque Nacional","Ordesa y Monte Perdido",754894.335043428,4723186.68063631
"81",16,-1.1000000188748,0.691666652758916,"0","ES","Comunidad autÃ³noma","ES2","ES24","Aragon","Ordesa y Monte Perdido","Parque Nacional","Ordesa y Monte Perdido",750131.825518409,4721281.6768263
"82",17,-4.7583332657814,-2.78333338101705,"0","ES","Comunidad autÃ³noma","ES2","ES24","Aragon","Posets-Maladeta","Parque Natural","Posets-Maladeta",776696.045313515,4731759.19778134
"83",18,-8.20833326627811,-6.22499992450078,"0","ES","Comunidad autÃ³noma","ES2","ES24","Aragon","Posets-Maladeta","Parque Natural","Posets-Maladeta",782199.389653537,4728690.02497633
"84",19,-6.44166665275892,-4.47499996423721,"0","ES","Comunidad autÃ³noma","ES2","ES24","Aragon","Posets-Maladeta","Parque Natural","Posets-Maladeta",779553.551028527,4723715.84836131
"85",20,-0.974999902149042,0.958333303531011,"0","ES","Comunidad autÃ³noma","ES2","ES24","Aragon","Posets-Maladeta","Parque Natural","Posets-Maladeta",788337.735263562,4729325.02624633
"86",21,-4.43333333233992,-2.44999991854032,"0","ES","Comunidad autÃ³noma","ES2","ES24","Aragon","Posets-Maladeta","Parque Natural","Posets-Maladeta",798391.922038602,4730383.36169633
